SaleID,DateTime,MachineID,LocationID,ProductID,ProductName,Category,Price,Quantity,TotalLine,PaymentType,Route,Region,City,Zone
S00001,2024-05-22 22:27:00,MAQ020,CLIENTE004,P005,Barra de Cereal,Snack,800,3,2400,QR,Ruta A,Valparaíso,Viña del Mar,Costa
S00002,2024-06-04 14:50:00,MAQ009,CLIENTE036,P004,Papas Fritas,Snack,1500,3,4500,Tarjeta,Ruta E,Región Metropolitana,Santiago,Centro
S00003,2024-12-07 00:42:00,MAQ013,CLIENTE020,P007,Café en lata,Bebida,1300,1,1300,Tarjeta,Ruta C,Región Metropolitana,Santiago,Centro
S00004,2024-04-20 23:32:00,MAQ008,CLIENTE008,P006,Galletas,Snack,1000,2,2000,QR,Ruta E,Araucanía,Temuco,Sur
S00005,2024-09-14 21:48:00,MAQ002,CLIENTE027,P010,Chocolate,Snack,1700,3,5100,QR,Ruta B,Biobío,Concepción,Sur
S00006,2024-03-15 07:28:00,MAQ015,CLIENTE040,P004,Papas Fritas,Snack,1500,2,3000,Efectivo,Ruta E,Araucanía,Temuco,Sur
S00007,2024-08-25 00:37:00,MAQ012,CLIENTE005,P008,Energética,Bebida,1600,2,3200,Efectivo,Ruta E,Antofagasta,Antofagasta,Norte
S00008,2024-09-27 02:33:00,MAQ008,CLIENTE045,P010,Chocolate,Snack,1700,3,5100,Tarjeta,Ruta D,Antofagasta,Antofagasta,Norte
S00009,2024-07-06 14:35:00,MAQ009,CLIENTE031,P001,Coca-Cola,Bebida,1200,3,3600,Tarjeta,Ruta D,Valparaíso,Viña del Mar,Costa
S00010,2024-10-01 11:30:00,MAQ019,CLIENTE024,P002,Pepsi,Bebida,1100,2,2200,QR,Ruta E,Valparaíso,Viña del Mar,Costa
S00011,2024-08-10 17:16:00,MAQ016,CLIENTE031,P006,Galletas,Snack,1000,1,1000,QR,Ruta A,Antofagasta,Antofagasta,Norte
S00012,2024-01-07 19:47:00,MAQ011,CLIENTE041,P006,Galletas,Snack,1000,3,3000,QR,Ruta D,Valparaíso,Viña del Mar,Costa
S00013,2024-07-04 00:00:00,MAQ009,CLIENTE014,P009,Jugo Natural,Bebida,1400,3,4200,Tarjeta,Ruta B,Biobío,Concepción,Sur
S00014,2024-04-10 12:18:00,MAQ004,CLIENTE040,P007,Café en lata,Bebida,1300,3,3900,Tarjeta,Ruta E,Antofagasta,Antofagasta,Norte
